origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Africa,Europe,0.0,500.0,1000.0,4655.2548909439565,52521.61483285743,1038.644576117143,2714.774
Africa,Europe,1000.0,1500.0,2000.0,35627.29640493054,161557.8775277845,11828.177019020344,23452.159
Africa,Europe,2000.0,2500.0,3000.0,2398.556185274045,52633.602378970776,3859.50699945198,11137.25
Africa,Europe,3000.0,3500.0,4000.0,4144.22036717485,13050.544671748503,6828.09027,12120.455
Africa,Europe,4000.0,4500.0,5000.0,35421.40066698096,137927.0195989536,42486.900055137485,91335.477
Africa,Europe,5000.0,5500.0,6000.0,41713.48509203734,158064.61032133398,54965.31408830455,73544.61600000001
Africa,Europe,6000.0,6500.0,7000.0,62400.411583370376,107736.56606390311,106729.72830127724,152585.687
Africa,Europe,8000.0,8500.0,9000.0,21654.84132991288,74644.62204901526,2960.6077999999998,4353.835
Africa,Europe,9000.0,9500.0,10000.0,59421.81023058175,165766.76540404226,619.0025215350034,931.624
Africa,Middle East,2000.0,2500.0,3000.0,10384.221231522943,103842.21231522942,35490.10209,62263.337
Africa,Middle East,3000.0,3500.0,4000.0,17413.485174697613,174134.8517469761,17541.91017,30775.281
Africa,Middle East,4000.0,4500.0,5000.0,24913.312600914007,62283.28150228501,15640.19176,23000.282
Africa,Middle East,5000.0,5500.0,6000.0,57040.87729175609,142602.19322939025,12921.66192,19002.444
Asia Pacific,Asia Pacific,0.0,500.0,1000.0,1614977.561847675,16149886.640391812,1400354.71278,2456762.654
Asia Pacific,Asia Pacific,1000.0,1500.0,2000.0,1771062.6242489205,17715279.152157795,1755109.6788180473,3079163.918
Asia Pacific,Asia Pacific,2000.0,2500.0,3000.0,693869.4141179152,5716855.449118926,1445951.6270150428,2530067.273
Asia Pacific,Asia Pacific,3000.0,3500.0,4000.0,275321.5113204548,2442903.9392377245,460184.6818515727,819976.866
Asia Pacific,Asia Pacific,4000.0,4500.0,5000.0,470911.0936846341,1209969.3069700922,334460.30459228734,492322.183
Asia Pacific,Asia Pacific,5000.0,5500.0,6000.0,332004.0753806081,861316.4237611325,71299.68623127774,106487.206
Asia Pacific,Asia Pacific,6000.0,6500.0,7000.0,414007.8725487546,807847.5494380589,57506.32452362578,114268.5
Asia Pacific,Asia Pacific,7000.0,7500.0,8000.0,221442.97678975365,540058.5553850916,58783.23794730483,129108.867
Asia Pacific,Asia Pacific,8000.0,8500.0,9000.0,120728.6972568137,333672.4864686626,15563.241538770804,37304.816
Asia Pacific,Asia Pacific,9000.0,9500.0,10000.0,64315.680424617094,162097.60824486296,952.76296,1401.122
Asia Pacific,Europe,0.0,500.0,1000.0,1797.839910061607,17978.39910061607,344.64309000000003,604.637
Asia Pacific,Europe,1000.0,1500.0,2000.0,1729.6541671900839,17296.54167190084,1114.40985,1955.105
Asia Pacific,Europe,2000.0,2500.0,3000.0,4884.386695375497,48843.86695375497,3530.76012,6194.316
Asia Pacific,Europe,3000.0,3500.0,4000.0,3160.290698193222,31602.90698193222,9762.959429999999,17127.999
Asia Pacific,Europe,4000.0,4500.0,5000.0,7735.186460726922,23321.401411697134,67128.51468000001,91478.077
Asia Pacific,Europe,5000.0,5500.0,6000.0,30383.091191753767,60781.495120130305,89971.71026923798,132124.271
Asia Pacific,Europe,6000.0,6500.0,7000.0,140464.67119850277,253364.55042917724,271039.6182213035,394365.681
Asia Pacific,Europe,7000.0,7500.0,8000.0,201848.31160889866,374389.1789602954,157133.9710825236,218952.61
Asia Pacific,Europe,8000.0,8500.0,9000.0,320338.055353861,543137.8900505314,412762.95715645415,544432.758
Asia Pacific,Europe,9000.0,9500.0,10000.0,430661.96051327133,969580.6559434712,194085.39780448138,324138.643
Asia Pacific,Europe,10000.0,10500.0,11000.0,120171.33835050993,359073.59533540154,5035.901384850144,19171.549
Asia Pacific,Middle East,1000.0,1500.0,2000.0,29637.644446264378,296376.44446264376,41543.72154,72883.722
Asia Pacific,Middle East,2000.0,2500.0,3000.0,60153.89761822013,601538.9761822013,80746.86747,141661.171
Asia Pacific,Middle East,3000.0,3500.0,4000.0,52960.35245261252,529603.524526125,55441.01808,97264.944
